minority_ratio,separation,ari_mean,ari_std
0.01,0.5,7.683565576465799e-06,0.00016272507301770187
0.01,1.0,7.021719529540253e-05,0.0002832735697628255
0.01,2.0,0.00037758879390990314,0.00043900102538899164
0.01,3.0,0.0008173767702110152,0.0008022062303215116
0.01,4.0,0.0009751988047464432,0.001018882712659728
0.01,6.0,0.0026386363257620148,0.003030575536634411
0.01,8.0,0.006932185336653488,0.01613797480372084
0.01,10.0,0.011815027971293215,0.02670467266935104
0.01,12.0,0.06037272854234322,0.19901291026375398
0.02,0.5,7.259955403643153e-05,0.0002702470487075414
0.02,1.0,0.0002907744325957764,0.0005433342667367665
0.02,2.0,0.0014341847111916791,0.001226713644327038
0.02,3.0,0.0024935801474716885,0.001864212261326014
0.02,4.0,0.0046468586852756585,0.004685704625978037
0.02,6.0,0.008745271089532713,0.008167501483539775
0.02,8.0,0.01900678423972502,0.041682118636779696
0.02,10.0,0.17808241680044376,0.3691759589633371
0.02,12.0,0.20172434833788302,0.3634675205981681
0.03,0.5,0.0001468805732576534,0.00043054374942316873
0.03,1.0,0.0007068091290217973,0.0008709360091341998
0.03,2.0,0.0031453528170312123,0.0024779794401191173
0.03,3.0,0.006244802084006546,0.005886497189957066
0.03,4.0,0.009903439665026614,0.009321840724957522
0.03,6.0,0.02118758714439485,0.03950655643657882
0.03,8.0,0.10724758856432198,0.21627341049370116
0.03,10.0,0.23806343931775328,0.3492623306597354
0.03,12.0,0.3243049344396334,0.38784170089862396
0.05,0.5,0.0005427873193956748,0.0006963021963977992
0.05,1.0,0.0023752498723545452,0.0016622974593560116
0.05,2.0,0.007754544459957097,0.005274272902006826
0.05,3.0,0.014365760706435051,0.00960194466215528
0.05,4.0,0.025054260360757405,0.02282844319427241
0.05,6.0,0.14547183787600532,0.3162647199471103
0.05,8.0,0.44291829812578093,0.4117022705819213
0.05,10.0,0.45261517994182054,0.4045581071742386
0.05,12.0,0.4651470357067183,0.4012252803752373
0.08,0.5,0.0013622749893585256,0.0010644792416970705
0.08,1.0,0.005308223430706359,0.004028846660939715
0.08,2.0,0.021181526374911414,0.01654687749347887
0.08,3.0,0.03987979953842169,0.03199286480991649
0.08,4.0,0.06687307861359272,0.06868909076036118
0.08,6.0,0.40617396609430956,0.39292188018344576
0.08,8.0,0.4454069669149676,0.3988356777352731
0.08,10.0,0.46836896305226605,0.4057613182242323
0.08,12.0,0.518097300505129,0.40957411499261015
0.12,0.5,0.0029324894171896205,0.0023145968533878564
0.12,1.0,0.01111351495261395,0.00859499173808281
0.12,2.0,0.03430102184172973,0.028277341726398533
0.12,3.0,0.07610934200265652,0.09491410564696569
0.12,4.0,0.23838813071980638,0.29003992841898996
0.12,6.0,0.481214867692851,0.3554879697535119
0.12,8.0,0.5207171790558417,0.37062453227083547
0.12,10.0,0.5767876155303572,0.36118577539209445
0.12,12.0,0.5878699343000072,0.35563481548245846
0.18,0.5,0.005870715917506285,0.0038549782457394837
0.18,1.0,0.022835576591247034,0.014033771822036634
0.18,2.0,0.08910639019366623,0.06875382192768827
0.18,3.0,0.2345561448316646,0.2099014116076627
0.18,4.0,0.4260092811283422,0.2959109786462689
0.18,6.0,0.5350643135717895,0.31536473881144705
0.18,8.0,0.5743350280018802,0.3135799682827328
0.18,10.0,0.602685689801202,0.3014496585040761
0.18,12.0,0.6149287482136583,0.2999860135148263
0.25,0.5,0.010163102378980913,0.006379391128567991
0.25,1.0,0.03712580865326384,0.0230382724436727
0.25,2.0,0.15510201899770565,0.10489084459282702
0.25,3.0,0.3175568230936717,0.21642616576018395
0.25,4.0,0.49105590557094847,0.24179020936563517
0.25,6.0,0.6168497578475508,0.2811885486461123
0.25,8.0,0.6746621707146983,0.27393139134925243
0.25,10.0,0.7010286887367597,0.2671353123527147
0.25,12.0,0.7100887110219811,0.27118864565270756
0.3,0.5,0.012901866298261247,0.008724148976522668
0.3,1.0,0.042317953909386204,0.031159265068817953
0.3,2.0,0.1634686216653996,0.13634627048006334
0.3,3.0,0.29468041770815795,0.23845354878304767
0.3,4.0,0.4550296320225031,0.2555328904752578
0.3,6.0,0.5783728855781781,0.26020436684636744
0.3,8.0,0.6250400188235963,0.25805440850095224
0.3,10.0,0.6479874805783535,0.2542204858747208
0.3,12.0,0.659544688058907,0.2543971342355365
